
2022/05/30 (12:35:01) | ===> btop++ v.1.2.6
2022/05/30 (12:35:01) | ERROR: failed getting network interfaces

2022/06/15 (16:00:25) | ===> btop++ v.1.2.6
2022/06/15 (16:00:25) | ERROR: failed getting network interfaces

2022/07/13 (09:50:06) | ===> btop++ v.1.2.6
2022/07/13 (09:50:06) | ERROR: failed getting network interfaces

2022/07/31 (09:38:50) | ===> btop++ v.1.2.6
2022/07/31 (09:38:50) | ERROR: failed getting network interfaces
2022/09/03 (01:48:31) | ERROR: Stall in Runner thread, restarting!
2022/09/10 (03:50:38) | ERROR: Stall in Runner thread, restarting!
2022/09/17 (00:08:29) | ERROR: Stall in Runner thread, restarting!

2022/11/23 (18:58:57) | ===> btop++ v.1.2.6
2022/11/23 (18:58:57) | ERROR: failed getting network interfaces
2022/11/29 (15:57:09) | ERROR: Stall in Runner thread, restarting!

2022/12/08 (14:48:34) | ===> btop++ v.1.2.6
2022/12/08 (14:48:34) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (14:48:44) | ERROR: Stall in Runner thread, restarting!
2022/12/08 (14:48:50) | ERROR: Stall in Runner thread, restarting!
2022/12/19 (09:54:18) | ERROR: failed getting network interfaces
2023/01/03 (03:31:32) | ERROR: failed getting network interfaces

2023/03/14 (10:05:03) | ===> btop++ v.1.2.6
2023/03/14 (10:05:03) | ERROR: failed getting network interfaces

2023/05/09 (17:31:32) | ===> btop++ v.1.2.6
2023/05/09 (17:31:32) | ERROR: Stall in Runner thread, restarting!
